country_code,language,official,percentage,speakers
ABW,Dutch,T,5.3,545900.0
ABW,English,F,9.5,978500.0
ABW,Papiamento,F,76.7,7900100.0
ABW,Spanish,F,7.4,762200.0
AFG,Balochi,F,0.9,20448000.0
AFG,Dari,T,32.1,729312000.0
AFG,Pashto,T,52.4,1190528000.0
AFG,Turkmenian,F,1.9,43168000.0
AFG,Uzbek,F,8.8,199936000.00000003
AGO,Ambo,F,2.4,30907200.0
AGO,Chokwe,F,4.2,54087600.0
AGO,Kongo,F,13.2,169989600.0
AGO,Luchazi,F,2.4,30907200.0
AGO,Luimbe-nganguela,F,5.4,69541200.0
AGO,Luvale,F,3.6,46360800.0
AGO,Mbundu,F,21.6,278164800.0
AGO,Nyaneka-nkhumbi,F,5.4,69541200.0
AGO,Ovimbundu,F,37.2,479061600.00000006
AIA,English,T,0.0,0.0
ALB,Albaniana,T,97.9,332977480.0
ALB,Greek,F,1.8,6122160.0
ALB,Macedonian,F,0.1,340120.0
AND,Catalan,T,32.3,2519400.0
AND,French,F,6.2,483600.0
AND,Portuguese,F,10.8,842400.0
AND,Spanish,F,44.6,3478800.0
ANT,Dutch,T,0.0,0.0
ANT,English,F,7.8,1692600.0
ANT,Papiamento,T,86.2,18705400.0
ARE,Arabic,T,42.0,102522000.0
ARE,Hindi,F,0.0,0.0
ARG,Indian Languages,F,0.3,11109600.0
ARG,Italian,F,1.7,62954400.0
ARG,Spanish,T,96.8,3584697600.0
ARM,Armenian,T,93.4,328768000.0
ARM,Azerbaijani,F,2.6,9152000.0
ASM,English,T,3.1,210800.0
ASM,Samoan,T,90.6,6160800.0
ASM,Tongan,F,3.1,210800.0
ATG,Creole English,F,95.7,6507600.0
ATG,English,T,0.0,0.0
AUS,Arabic,F,1.0,
AUS,Canton Chinese,F,1.1,
AUS,English,T,81.2,
AUS,German,F,0.6,
AUS,Greek,F,1.6,
AUS,Italian,F,2.2,
AUS,Serbo-Croatian,F,0.6,
AUS,Vietnamese,F,0.8,
AUT,Czech,F,0.2,
AUT,German,T,92.0,
AUT,Hungarian,F,0.4,
AUT,Polish,F,0.2,
AUT,Romanian,F,0.2,
AUT,Serbo-Croatian,F,2.2,
AUT,Slovene,F,0.4,
AUT,Turkish,F,1.5,
AZE,Armenian,F,2.0,15468000.0
AZE,Azerbaijani,T,89.0,688326000.0
AZE,Lezgian,F,2.3,17788200.0
AZE,Russian,F,3.0,23202000.0
BDI,French,T,0.0,0.0
BDI,Kirundi,T,98.1,656779500.0
BDI,Swahili,F,0.0,0.0
BEL,Arabic,F,1.6,16382400.0
BEL,Dutch,T,59.2,606148800.0
BEL,French,T,32.6,333791400.0
BEL,German,T,1.0,10239000.0
BEL,Italian,F,2.4,24573600.0
BEL,Turkish,F,0.9,9215100.0
BEN,Adja,F,11.1,67676700.0
BEN,Aizo,F,8.7,53043899.99999999
BEN,Bariba,F,8.7,53043899.99999999
BEN,Fon,F,39.8,242660600.0
BEN,Ful,F,5.6,34143200.0
BEN,Joruba,F,12.2,74383400.0
BEN,Somba,F,6.7,40849900.0
BFA,Busansi,F,3.5,41779500.0
BFA,Dagara,F,3.1,37004700.0
BFA,Dyula,F,2.6,31036200.0
BFA,Ful,F,9.7,115788900.0
BFA,Gurma,F,5.7,68040900.0
BFA,Mossi,F,50.2,599237400.0
BGD,Bengali,T,97.7,12618443500.0
BGD,Chakma,F,0.4,51662000.0
BGD,Garo,F,0.1,12915500.0
BGD,Khasi,F,0.1,12915500.0
BGD,Marma,F,0.2,25831000.0
BGD,Santhali,F,0.1,12915500.0
BGD,Tripuri,F,0.1,12915500.0
BGR,Bulgariana,T,83.2,681482880.0
BGR,Macedonian,F,2.6,21296340.0
BGR,Romani,F,3.7,30306330.0
BGR,Turkish,F,9.4,76994460.0
BHR,Arabic,T,67.7,41770900.0
BHR,English,F,0.0,0.0
BHS,Creole English,F,89.7,27537900.0
BHS,Creole French,F,10.3,3162100.0
BIH,Serbo-Croatian,T,99.2,394022400.0
BLR,Belorussian,T,65.6,671481600.0
BLR,Polish,F,0.6,6141600.0
BLR,Russian,T,32.0,327552000.0
BLR,Ukrainian,F,1.3,13306800.0
BLZ,English,T,50.8,12242800.0
BLZ,Garifuna,F,6.8,1638800.0
BLZ,Maya Languages,F,9.6,2313600.0
BLZ,Spanish,F,31.6,7615600.0
BMU,English,T,100.0,
BOL,Aimara,T,3.2,26652800.0
BOL,GuaranI,F,0.1,832900.0
BOL,KetSua,T,8.1,67464900.0
BOL,Spanish,T,87.7,730453300.0
BRA,German,F,0.5,85057500.0
BRA,Indian Languages,F,0.2,34023000.0
BRA,Italian,F,0.4,68046000.0
BRA,Japanese,F,0.4,68046000.0
BRA,Portuguese,T,97.5,16586212500.0
BRB,Bajan,F,95.1,25677000.0
BRB,English,T,0.0,0.0
BRN,Chinese,F,9.3,3050400.0000000005
BRN,English,F,3.1,1016800.0
BRN,Malay,T,45.5,14924000.0
BRN,Malay-English,F,28.8,9446400.0
BTN,Asami,F,15.2,32284800.0
BTN,Dzongkha,T,50.0,106200000.0
BTN,Nepali,F,34.8,73915200.0
BWA,Khoekhoe,F,2.5,4055000.0
BWA,Ndebele,F,1.3,2108600.0
BWA,San,F,3.5,5677000.0
BWA,Shona,F,12.3,19950600.0
BWA,Tswana,F,75.5,122461000.0
CAF,Banda,F,23.5,84952500.0
CAF,Gbaya,F,23.8,86037000.0
CAF,Mandjia,F,14.8,53502000.0
CAF,Mbum,F,6.4,23136000.0
CAF,Ngbaka,F,7.5,27112500.0
CAF,Sara,F,6.4,23136000.0
CAN,Chinese,F,2.5,77867500.0
CAN,Dutch,F,0.5,15573500.0
CAN,English,T,60.4,1881278800.0
CAN,Eskimo Languages,F,0.1,3114700.0
CAN,French,T,23.4,728839800.0
CAN,German,F,1.6,49835200.0
CAN,Italian,F,1.7,52949900.0
CAN,Polish,F,0.7,21802900.0
CAN,Portuguese,F,0.7,21802900.0
CAN,Punjabi,F,0.7,21802900.0
CAN,Spanish,F,0.7,21802900.0
CAN,Ukrainian,F,0.6,18688200.0
CCK,English,T,0.0,0.0
